config_name,iteration,language,model,temperature,play,winners,sentence
FUNNY_10_EN,1,EN,gemma3:4b,0.5,"['B001', 'W473', 'W291', 'W184', 'W457', 'W387', 'W375', 'W229', 'W127', 'W051', 'W417']","['W457', 'W229']","[WARN: 1 blank(s), 2 winner(s)] It's a pity that kids these days are all getting involved with A falcon with a cap on its head."
FUNNY_10_EN,1,EN,gemma3:4b,0.8,"['B001', 'W473', 'W291', 'W184', 'W457', 'W387', 'W375', 'W229', 'W127', 'W051', 'W417']","['W457', 'W229']","[WARN: 1 blank(s), 2 winner(s)] It's a pity that kids these days are all getting involved with A falcon with a cap on its head."
RANDOM_5_EN,1,EN,gemma3:4b,0.5,"['B001', 'W005', 'W105', 'W205', 'W305', 'W405']","['W205', 'W305']","[WARN: 1 blank(s), 2 winner(s)] It's a pity that kids these days are all getting involved with Gloryholes."
RANDOM_5_EN,1,EN,gemma3:4b,0.8,"['B001', 'W005', 'W105', 'W205', 'W305', 'W405']","['W205', 'W305']","[WARN: 1 blank(s), 2 winner(s)] It's a pity that kids these days are all getting involved with Gloryholes."
RANDOM_10_EN,1,EN,gemma3:4b,0.5,"['B001', 'W484', 'W084', 'W184', 'W284', 'W384', 'W001', 'W391', 'W271', 'W389', 'W328']","['W389', 'W328']","[WARN: 1 blank(s), 2 winner(s)] It's a pity that kids these days are all getting involved with Kissing Nan on the forehead and turning off her life support."
RANDOM_10_EN,1,EN,gemma3:4b,0.8,"['B001', 'W484', 'W084', 'W184', 'W284', 'W384', 'W001', 'W391', 'W271', 'W389', 'W328']","['W389', 'W328']","[WARN: 1 blank(s), 2 winner(s)] It's a pity that kids these days are all getting involved with Kissing Nan on the forehead and turning off her life support."
TOXIC_5_EN,1,EN,gemma3:4b,0.5,"['B001', 'W362', 'W158', 'W113', 'W340', 'W209']","['W158', 'W340']","[WARN: 1 blank(s), 2 winner(s)] It's a pity that kids these days are all getting involved with Vladimir Putin.."
TOXIC_10_EN,1,EN,gemma3:4b,0.5,"['B001', 'W051', 'W127', 'W158', 'W209', 'W492', 'W340', 'W362', 'W473', 'W417', 'W471']","['W492', 'W473']","[WARN: 1 blank(s), 2 winner(s)] It's a pity that kids these days are all getting involved with Women's suffrage. ."
TOXIC_10_EN,1,EN,gemma3:4b,0.5,"['B002', 'W043', 'W254', 'W316', 'W341', 'W417', 'W428', 'W445', 'W471', 'W362', 'W158']","['W445', 'W362']","[WARN: 1 blank(s), 2 winner(s)] TFL apologizes for the delay in train service due to Firing a rifle into the air while balls deep in a squealing hog. ."
TOXIC_10_EN,1,EN,gemma3:4b,0.8,"['B002', 'W043', 'W254', 'W316', 'W341', 'W417', 'W428', 'W445', 'W471', 'W362', 'W158']","['W341', 'W445']","[WARN: 1 blank(s), 2 winner(s)] TFL apologizes for the delay in train service due to Drowning the kids in the bathtub. ."
