Type,Card_Text
W001,Having a stroke.
W002,Getting drugs off the street and into my body.
W003,Strong female characters.
W004,An M. Night Shyamalan plot twist.
W005,Doing crimes.
W006,Fear itself.
W007,Self-loathing.
W008,Sex with animals.
W009,Land mines.
W010,Fading away into nothingness.
W011,Pretending to care.
W012,Swooping.
W013,The Great Depression.
W014,My boss.
W015,Solving problems with violence.
W016,The Daily Mail.
W017,Gay conversion therapy.
W018,Explosions.
W019,A fart so powerful that it wakes the giants from their thousand-year slumber.
W020,Morgan Freeman's voice.
W021,James fucking Cordon.
W022,The guys from Queer Eye.
W023,Men.
W024,Science.
W025,Coat hanger abortions.
W026,Poor life choices.
W027,Old-people smell.
W028,A posh wank.
W029,My ugly face and bad personality.
W030,My relationship status.
W031,Catapults.
W032,Sniffing and kissing my feet.
W033,My inner demons.
W034,Pissing in my thirsty mouth.
W035,The Strictly Come Dancing final.
W036,Black people.
W037,Flesh-eating bacteria.
W038,What that mouth do.
W039,Mouth herpes.
W040,The Blood of Christ.
W041,Explaining how vaginas work.
W042,A general lack of purpose.
W043,Itchy pussy.
W044,How bad my daughter fucked up her dance recital.
W045,Becoming a blueberry.
W046,My genitals.
W047,Exactly what you'd expect.
W048,Brutal austerity.
W049,Elderly Japanese men.
W050,Jobs.
W051,Anal beads.
W052,Only dating Asian women.
W053,Stalin.
W054,Bogies.
W055,Paedophiles.
W056,Denying climate change.
W057,Horse meat.
W058,Daniel Radcliffe's delicious arsehole.
W059,Mad cow disease.
W060,Flat out not giving a shit.
W061,The prostate.
W062,A micropenis.
W063,Lumberjack fantasies.
W064,Announcing that I am about to cum.
W065,The American Dream.
W066,Pulling out.
W067,Fucking my sister.
W068,Fragile masculinity.
W069,400 years of colonial atrocities.
W070,Burgers and pussy.
W071,Autocannibalism.
W072,Slaughtering innocent civilians.
W073,The Patriarchy.
W074,Battlefield amputations.
W075,Dick fingers.
W076,Oestrogen
W077,The rhythms of Africa.
W078,An old guy who's almost dead.
W079,Getting cummed on.
W080,An Oedipus complex.
W081,Sperm whales.
W082,Opposable thumbs.
W083,Women in yoghurt adverts.
W084,Blowing up Parliament.
W085,Slapping your knees to signal your imminent departure.
W086,Shiny objects.
W087,Soup that is too hot.
W088,Ecstasy.
W089,Preteens.
W090,Sitting on my face.
W091,Cuddling.
W092,The homosexual agenda.
W093,"A good, strong gorilla."
W094,Memes.
W095,Committing suicide.
W096,Cheeky bum sex.
W097,Some guy.
W098,The glass ceiling.
W099,The past.
W100,LYNX® Body Spray.
W101,The only gay person in a hundred miles.
W102,The inevitable heat death of the universe.
W103,Used knickers.
